class_id,raw_label,clean_label
1,bird,bird
2,black,black
3,cat,cat
4,cow,cow
5,dog,dog
6,fish,fish
7,goodmorning,good_morning
8,grey,grey
9,hello,hello
10,youareperfect,you_are_perfect
11,monsoon,monsoon
12,afternoon,afternoon
13,angry,angry
14,bad,bad
15,boy,boy
16,eat,eat
17,friend,friend
18,drinking,drinking
19,girl,girl
20,brother,brother
21,good,good
22,father,father
23,evening,evening
24,help,help
25,mother,mother
26,NAME,name
27,Night,night
28,Music,music
29,nose,nose
30,sleep,sleep
31,sit,sit
32,sorry,sorry
33,stand,stand
34,stop,stop
35,student,student
36,study,study
37,teacher,teacher
38,thankyou,thank_you
39,today,today
40,tommorow,tomorrow
41,welcome,welcome
42,work,work
43,yesterday,yesterday
44,teeth,teeth
45,hand,hand
46,write,write
47,umberlla,umbrella
48,ring,ring
50,power,power
