class_id,label,video_name,frame_count,fps,width,height,duration_seconds
1,bird,0403(77).mp4,57,30.0,1908,1080,1.9
1,bird,0403(78).mp4,83,30.0,1908,1080,2.7666666666666666
1,bird,0403.mp4,83,30.0,1908,1080,2.7666666666666666
1,bird,Bird -1.mp4,134,30.0,1280,720,4.466666666666667
1,bird,Bird -2.mp4,115,30.0,1280,720,3.8333333333333335
1,bird,Bird -3.mp4,115,30.0,1280,720,3.8333333333333335
1,bird,Bird1.mp4,100,30.0,1272,720,3.3333333333333335
1,bird,Bird2.mp4,116,30.0,1272,720,3.8666666666666667
1,bird,Bird3.mp4,116,30.0,1272,720,3.8666666666666667
1,bird,NachikethBird1.mp4,90,29.990669569467276,474,850,3.0009333333333337
1,bird,NachikethBird2.mp4,72,29.990836133403683,474,850,2.400733333333333
1,bird,NachikethBird3.mp4,91,29.99011314951115,474,850,3.0343333333333335
1,bird,krishnarajbird.mp4,100,30.003000300030003,1920,1080,3.333
1,bird,krishnarajbird_2.mp4,85,30.003529827038474,1920,1080,2.833
1,bird,krishnarajbird_3.mp4,81,29.988893002591634,1920,1080,2.7009999999999996
1,bird,manideepbird-1.mp4,68,30.0,472,850,2.2666666666666666
1,bird,manideepbird-2.mp4,93,30.0,472,850,3.1
1,bird,manideepbird-3.mp4,134,30.0,472,850,4.466666666666667
2,black,0403(80).mp4,56,30.0,1908,1080,1.8666666666666667
2,black,0403(81).mp4,63,30.0,1908,1080,2.1
2,black,0403(82).mp4,72,30.0,1908,1080,2.4
2,black,Black -1.mp4,86,30.0,1280,720,2.8666666666666667
2,black,Black -2.mp4,86,30.0,1280,720,2.8666666666666667
2,black,Black -3.mp4,86,30.0,1280,720,2.8666666666666667
2,black,Black1.mp4,66,30.0,1272,720,2.2
2,black,Black2.mp4,74,30.0,1272,720,2.466666666666667
2,black,Black3.mp4,69,30.0,1272,720,2.3
2,black,NachikethBlack1.mp4,85,29.990826335473855,474,850,2.8342
2,black,NachikethBlack2.mp4,133,29.989627647580537,474,850,4.434866666666666
2,black,NachikethBlack3.mp4,101,29.989607561736033,474,850,3.367833333333333
2,black,krishnarajblack.mp4,50,30.012004801920767,1920,1080,1.6660000000000001
2,black,krishnarajblack_1.mp4,56,30.010718113612004,1920,1080,1.866
2,black,krishnarajblack_2.mp4,66,29.986369831894592,1920,1080,2.201
2,black,manideepblack-1.mp4,53,30.0,472,850,1.7666666666666666
2,black,manideepblack-2.mp4,77,30.0,472,850,2.566666666666667
2,black,manideepblack-3.mp4,92,30.0,472,850,3.066666666666667
3,cat,0403(1).mp4,68,30.0,1920,1080,2.2666666666666666
3,cat,0403(2).mp4,95,30.0,1920,1080,3.1666666666666665
3,cat,0403.mp4,70,30.0,1920,1080,2.3333333333333335
3,cat,Cat-1.mp4,78,30.0,1280,720,2.6
3,cat,Cat-2.mp4,83,30.0,1280,720,2.7666666666666666
3,cat,Cat-3.mp4,83,30.0,1280,720,2.7666666666666666
3,cat,Cat1.mp4,89,30.0,1272,720,2.966666666666667
3,cat,Cat2.mp4,90,30.0,1272,720,3.0
3,cat,Cat3.mp4,90,30.0,1272,720,3.0
3,cat,NachikethCat1.mp4,80,29.99025316772049,474,850,2.6675333333333335
3,cat,NachikethCat2.mp4,90,29.990669569467276,474,850,3.0009333333333337
3,cat,NachikethCat3.mp4,126,29.98976539752307,474,850,4.201433333333333
3,cat,krishnarajcat.mp4,89,30.006743088334456,1920,1080,2.966
3,cat,krishnarajcat_1.mp4,86,30.006978367062107,1920,1080,2.866
3,cat,krishnarajcat_2.mp4,69,29.98696219035202,1920,1080,2.301
3,cat,manideepcat-1.mp4,92,29.01079495884882,472,850,3.1712333333333333
3,cat,manideepcat-2.mp4,93,29.01052281329285,472,850,3.2057333333333333
3,cat,manideepcat-3.mp4,55,29.0181319357732,472,850,1.8953666666666666
4,cow,0403(3).mp4,70,30.0,1920,1080,2.3333333333333335
4,cow,0403(4).mp4,83,30.0,1920,1080,2.7666666666666666
4,cow,0403(5).mp4,88,30.0,1920,1080,2.933333333333333
4,cow,Cow -1.mp4,86,30.0,1280,720,2.8666666666666667
4,cow,Cow-2.mp4,85,30.0,1280,720,2.8333333333333335
4,cow,Cow-3.mp4,85,30.0,1280,720,2.8333333333333335
4,cow,Cow1.mp4,85,30.0,1272,720,2.8333333333333335
4,cow,Cow2.mp4,108,30.0,1272,720,3.6
4,cow,Cow3.mp4,80,30.0,1272,720,2.6666666666666665
4,cow,NachikethCow1.mp4,111,29.989193083573486,474,850,3.7013333333333334
4,cow,NachikethCow2.mp4,109,29.989544929290705,474,850,3.6346000000000003
4,cow,NachikethCow3.mp4,104,29.98933071887886,474,850,3.4678999999999998
4,cow,krishnarajcow.mp4,90,29.990003332222592,1920,1080,3.001
4,cow,krishnarajcow_1.mp4,71,30.00845308537616,1920,1080,2.366
4,cow,krishnarajcow_2.mp4,99,29.990911844895486,1920,1080,3.301
4,cow,manideepcow-1.mp4,83,30.0,478,850,2.7666666666666666
4,cow,manideepcow-2.mp4,82,30.0,478,850,2.7333333333333334
4,cow,manideepcow-3.mp4,70,30.0,478,850,2.3333333333333335
5,dog,0403(6).mp4,58,30.0,1920,1080,1.9333333333333333
5,dog,0403(7).mp4,76,30.0,1920,1080,2.533333333333333
5,dog,0403(8).mp4,79,30.0,1920,1080,2.6333333333333333
5,dog,Dog-1.mp4,88,30.0,1280,720,2.933333333333333
5,dog,Dog-2.mp4,85,30.0,1280,720,2.8333333333333335
5,dog,Dog-3.mp4,81,30.0,1280,720,2.7
5,dog,Dog1.mp4,96,30.0,1280,720,3.2
5,dog,Dog2.mp4,134,30.0,1280,720,4.466666666666667
5,dog,Dog3.mp4,108,30.0,1280,720,3.6
5,dog,NachikethDog2.mp4,164,29.989211198410327,474,850,5.468633333333333
5,dog,krishnarajdog.mp4,83,30.007230657989876,1920,1080,2.766
5,dog,krishnarajdog_1.mp4,108,29.991668980838657,1920,1080,3.601
5,dog,krishnarajdog_2.mp4,87,29.98965873836608,1920,1080,2.901
5,dog,manideepdog-1.mp4,109,30.0,472,850,3.6333333333333333
5,dog,manideepdog-2.mp4,106,30.0,472,850,3.533333333333333
5,dog,manideepdog-3.mp4,67,30.0,472,850,2.2333333333333334
6,fish,0403(10).mp4,100,30.0,1920,1080,3.3333333333333335
6,fish,0403(11).mp4,114,30.0,1920,1080,3.8
6,fish,0403(9).mp4,87,30.0,1920,1080,2.9
6,fish,Fish -1.mp4,114,30.0,1280,720,3.8
6,fish,Fish -2.mp4,97,30.0,1280,720,3.2333333333333334
6,fish,Fish -3.mp4,99,30.0,1280,720,3.3
6,fish,Fish 2.mp4,102,30.0,1280,720,3.4
6,fish,Fish 3.mp4,102,30.0,1280,720,3.4
6,fish,Fish1.mp4,69,30.0,1280,720,2.3
6,fish,NachikethFish1.mp4,86,29.990235737201843,474,850,2.8676
6,fish,NachikethFish2.mp4,80,29.99025316772049,474,850,2.6675333333333335
6,fish,NachikethFish3.mp4,83,29.989160544381548,474,850,2.767666666666667
6,fish,krishnarajfish1.mp4,134,30.259691381257056,848,480,4.428333333333334
6,fish,krishnarajfish2.mp4,86,29.930394431554525,848,480,2.873333333333333
6,fish,krishnarajfish3.mp4,84,30.1255230125523,848,480,2.7883333333333336
6,fish,manideepfish-1.mp4,94,30.0,472,850,3.1333333333333333
6,fish,manideepfish-2.mp4,119,30.0,472,850,3.966666666666667
6,fish,manideepfish-3.mp4,74,30.0,472,850,2.466666666666667
7,goodmorning,0403(12).mp4,49,30.0,1920,1080,1.6333333333333333
7,goodmorning,0403(13).mp4,65,30.0,1920,1080,2.1666666666666665
7,goodmorning,0403(14).mp4,61,30.0,1920,1080,2.033333333333333
7,goodmorning,Good morning -1.mp4,95,30.0,1280,720,3.1666666666666665
7,goodmorning,Good morning -2.mp4,78,30.0,1280,720,2.6
7,goodmorning,Good morning -3.mp4,65,30.0,1280,720,2.1666666666666665
7,goodmorning,Good morning 1.mp4,104,30.0,1272,720,3.466666666666667
7,goodmorning,Good morning 2.mp4,104,30.0,1272,720,3.466666666666667
7,goodmorning,Good morning 3.mp4,78,30.0,1272,720,2.6
7,goodmorning,NachikethGoodMorning1.mp4,99,29.990306163664272,474,850,3.3010666666666664
7,goodmorning,NachikethGoodMorning2.mp4,88,29.990457581678555,474,850,2.934266666666667
7,goodmorning,NachikethGoodMorning3.mp4,92,29.990220580245573,474,850,3.0676666666666668
7,goodmorning,krishnarajgoodmorning.mp4,71,30.00845308537616,1920,1080,2.366
7,goodmorning,krishnarajgoodmorning_1.mp4,60,29.985007496251875,1920,1080,2.001
7,goodmorning,krishnarajgoodmorning_2.mp4,75,29.988004798080766,1920,1080,2.5010000000000003
7,goodmorning,manideepgoodmorning-1.mp4,86,30.0,472,850,2.8666666666666667
